iter	Passed	Remaining
624	23581	21694
625	23621	21659
626	23661	21624
627	23701	21588
628	23739	21550
629	23778	21513
630	23812	21472
631	23867	21450
632	23911	21418
633	23949	21380
634	23988	21343
635	24026	21306
636	24063	21268
637	24105	21234
638	24142	21195
639	24181	21159
640	24216	21118
641	24254	21081
642	24298	21048
643	24339	21013
644	24378	20977
645	24417	20939
646	24457	20903
647	24498	20869
648	24547	20840
649	24600	20815
650	24639	20779
651	24685	20748
652	24719	20706
653	24750	20662
654	24787	20624
655	24826	20587
656	24865	20550
657	24900	20510
658	24938	20473
659	24975	20434
660	25017	20400
661	25060	20366
662	25094	20325
663	25138	20292
664	25173	20252
665	25222	20223
666	25263	20187
667	25300	20149
668	25349	20120
669	25389	20084
670	25434	20052
671	25473	20014
672	25511	19976
673	25549	19939
674	25588	19902
675	25629	19866
676	25668	19829
677	25704	19790
678	25743	19753
679	25792	19723
680	25842	19695
681	25879	19655
682	25915	19616
683	25950	19576
684	25987	19537
685	26029	19502
686	26067	19465
687	26120	19438
688	26154	19397
689	26190	19358
690	26234	19324
691	26271	19285
692	26306	19246
693	26342	19206
694	26383	19170
695	26436	19143
696	26483	19112
697	26530	19080
698	26581	19051
699	26622	19016
700	26698	19005
701	26740	18969
702	26784	18935
703	26824	18899
704	26863	18861
705	26911	18830
706	26954	18795
707	26987	18753
708	27024	18715
709	27067	18680
710	27107	18643
711	27150	18608
712	27191	18572
713	27237	18540
714	27276	18501
715	27314	18464
716	27349	18423
717	27387	18385
718	27429	18350
719	27468	18312
720	27501	18270
721	27535	18229
722	27578	18194
723	27632	18167
724	27672	18130
725	27711	18092
726	27752	18056
727	27788	18016
728	27830	17981
729	27872	17945
730	27910	17906
731	27976	17886
732	28012	17846
733	28046	17806
734	28082	17766
735	28125	17731
736	28168	17696
737	28205	17657
738	28243	17618
739	28281	17580
740	28329	17547
741	28366	17509
742	28409	17473
743	28459	17442
744	28499	17405
745	28537	17367
746	28582	17332
747	28620	17294
748	28658	17256
749	28694	17216
750	28738	17181
751	28779	17145
752	28818	17107
753	28859	17070
754	28895	17031
755	28930	16990
756	28968	16952
757	29009	16915
758	29049	16878
759	29098	16846
760	29138	16809
761	29181	16773
762	29227	16739
763	29270	16703
764	29322	16673
765	29364	16637
766	29404	16600
767	29442	16561
768	29486	16526
769	29526	16488
770	29573	16455
771	29621	16422
772	29662	16385
773	29747	16372
774	29789	16335
775	29830	16299
776	29864	16258
777	29902	16219
778	29954	16188
779	29999	16153
780	30051	16122
781	30097	16087
782	30136	16049
783	30177	16012
784	30218	15975
785	30268	15943
786	30305	15903
787	30347	15866
788	30389	15830
789	30461	15808
790	30498	15769
791	30542	15734
792	30584	15697
793	30626	15660
794	30673	15625
795	30729	15596
796	30773	15560
797	30820	15526
798	30864	15490
799	30902	15451
800	30946	15415
801	30992	15380
802	31039	15345
803	31088	15312
804	31139	15279
805	31187	15245
806	31243	15215
807	31280	15175
808	31319	15137
809	31361	15100
810	31402	15062
811	31446	15026
812	31497	14993
813	31537	14954
814	31576	14916
815	31626	14882
816	31667	14845
817	31714	14810
818	31749	14769
819	31782	14728
820	31826	14692
821	31873	14657
822	31916	14620
823	31965	14585
824	32010	14550
825	32043	14508
826	32087	14472
827	32122	14431
828	32168	14396
829	32201	14354
830	32241	14316
831	32286	14280
832	32338	14247
833	32382	14211
834	32427	14174
835	32467	14136
836	32511	14100
837	32551	14061
838	32593	14024
839	32636	13987
840	32692	13955
841	32741	13920
842	32787	13885
843	32823	13844
844	32868	13808
845	32913	13772
846	32956	13735
847	32991	13694
848	33033	13656
849	33085	13623
850	33136	13589
851	33179	13552
852	33227	13516
853	33264	13477
854	33306	13439
855	33350	13402
856	33394	13365
857	33435	13327
858	33488	13293
859	33528	13255
860	33564	13215
861	33600	13174
862	33643	13137
863	33686	13100
864	33728	13062
865	33767	13023
866	33805	12984
867	33842	12944
868	33881	12905
869	33918	12865
870	33964	12829
871	34011	12793
872	34050	12754
873	34088	12714
874	34137	12679
875	34178	12641
876	34217	12602
877	34256	12563
878	34296	12524
879	34334	12485
880	34372	12445
881	34412	12407
882	34463	12372
883	34502	12333
884	34544	12295
885	34582	12256
886	34620	12216
887	34673	12182
888	34708	12142
889	34750	12104
890	34788	12064
891	34825	12024
892	34861	11984
893	34902	11946
894	34942	11907
895	34978	11867
896	35020	11829
897	35060	11791
898	35104	11753
899	35140	11713
900	35180	11674
901	35213	11633
902	35251	11594
903	35286	11553
904	35329	11516
905	35368	11477
906	35406	11437
907	35451	11400
908	35484	11359
909	35539	11325
910	35583	11288
911	35622	11249
912	35670	11212
913	35710	11174
914	35756	11137
915	35791	11097
916	35840	11061
917	35882	11022
918	35914	10981
919	35956	10943
920	35997	10904
921	36035	10865
922	36076	10826
923	36125	10790
924	36171	10753
925	36213	10715
926	36247	10674
927	36291	10637
928	36332	10598
929	36373	10560
930	36409	10520
931	36454	10482
932	36491	10442
933	36533	10404
934	36567	10364
935	36612	10326
936	36654	10288
937	36692	10248
938	36731	10209
939	36772	10171
940	36809	10131
941	36849	10092
942	36887	10053
943	36927	10014
944	36963	9974
945	37008	9936
946	37047	9897
947	37086	9858
948	37118	9817
949	37152	9777
950	37188	9737
951	37225	9697
952	37267	9659
953	37306	9619
954	37354	9583
955	37392	9543
956	37429	9504
957	37465	9464
958	37499	9423
959	37535	9383
960	37579	9345
961	37620	9307
962	37660	9268
963	37698	9229
964	37742	9191
965	37784	9152
966	37821	9113
967	37857	9073
968	37896	9034
969	37926	8992
970	37966	8954
971	37997	8912
972	38038	8874
973	38089	8837
974	38131	8799
975	38174	8761
976	38218	8723
977	38257	8684
978	38297	8645
979	38337	8606
980	38381	8568
981	38427	8530
982	38471	8492
983	38516	8454
984	38559	8416
985	38605	8378
986	38651	8341
987	38697	8303
988	38741	8265
989	38797	8229
990	38834	8190
991	38872	8150
992	38926	8114
993	38970	8076
994	39005	8036
995	39050	7998
996	39097	7960
997	39138	7921
998	39178	7882
999	39221	7844
1000	39273	7807
1001	39310	7767
1002	39355	7729
1003	39402	7692
1004	39439	7652
1005	39478	7613
1006	39525	7575
1007	39564	7536
1008	39601	7496
1009	39646	7458
1010	39685	7419
1011	39728	7380
1012	39767	7341
1013	39806	7301
1014	39845	7262
1015	39879	7222
1016	39919	7183
1017	39975	7146
1018	40009	7106
1019	40047	7067
1020	40092	7028
1021	40133	6989
1022	40174	6950
1023	40221	6913
1024	40259	6873
1025	40293	6833
1026	40332	6794
1027	40371	6754
1028	40410	6715
1029	40451	6676
1030	40486	6636
1031	40524	6597
1032	40560	6557
1033	40600	6518
1034	40641	6479
1035	40681	6439
1036	40717	6400
1037	40762	6361
1038	40803	6322
1039	40846	6284
1040	40884	6244
1041	40923	6205
1042	40964	6166
1043	41007	6127
1044	41051	6088
1045	41100	6051
1046	41139	6011
1047	41181	5972
1048	41231	5935
1049	41270	5895
1050	41311	5856
1051	41353	5817
1052	41387	5777
1053	41422	5737
1054	41466	5699
1055	41506	5659
1056	41550	5621
1057	41592	5582
1058	41637	5543
1059	41676	5504
1060	41710	5464
1061	41746	5424
1062	41785	5385
1063	41824	5346
1064	41865	5306
1065	41903	5267
1066	41938	5227
1067	41977	5188
1068	42018	5149
