iter	AUC	Logloss
774	0.8534797641	0.4579208336
775	0.8536176961	0.4578162554
776	0.8537050482	0.4577455915
777	0.8537731021	0.4576595243
778	0.853943969	0.4575372976
779	0.8540789913	0.4574367305
780	0.8543432318	0.4572573707
781	0.8544570622	0.4571750156
782	0.8545378962	0.4571268912
783	0.8547243202	0.4569895889
784	0.8549296692	0.4568562956
785	0.8550385846	0.4567746519
786	0.8551748751	0.4566767293
787	0.8552196933	0.4566554005
788	0.8552636705	0.4566258433
789	0.855310875	0.4565824392
790	0.8555552996	0.4564317932
791	0.8556190658	0.4563635673
792	0.8557498717	0.4562761806
793	0.8558910445	0.4561532968
794	0.8560086006	0.4560696608
795	0.8561106439	0.4559419715
796	0.8563031125	0.4558216312
797	0.8564030485	0.4557412463
798	0.8565695738	0.4556373805
799	0.8566375507	0.455587893
800	0.8566712207	0.4555547159
801	0.8567470261	0.4554875332
802	0.8568839055	0.4553787217
803	0.8570052624	0.4552879427
804	0.857089572	0.4552223939
805	0.8571869677	0.4551499301
806	0.8572603965	0.4550704503
807	0.8573255021	0.4549932966
808	0.8573636637	0.454954662
809	0.8574538716	0.4548900468
810	0.857553696	0.4548158825
811	0.8576197119	0.4547484518
812	0.8577664309	0.4546063845
813	0.857843622	0.4545341821
814	0.8579617612	0.4544508914
815	0.8581052645	0.4543489059
816	0.858167216	0.4543012982
817	0.8582976755	0.4541872588
818	0.8584185089	0.4540963917
819	0.8584898189	0.4540558632
820	0.8586175187	0.453946791
821	0.8586833094	0.4539030455
822	0.858764461	0.4538273842
823	0.8588183548	0.453776767
824	0.8590311552	0.4536319129
825	0.8591028327	0.4535581712
826	0.8592763976	0.4534468147
827	0.8593702409	0.4533762233
828	0.8595066468	0.4532799797
829	0.8596229194	0.4531860113
830	0.8597087492	0.4531178312
831	0.8599682364	0.4529068931
832	0.8602067588	0.4527262105
833	0.8602728959	0.4526484587
834	0.8603803583	0.4525536374
835	0.8605268349	0.4524614213
836	0.8606874156	0.4523506353
837	0.8607063021	0.4523298602
838	0.8608422654	0.452238498
839	0.8609620212	0.4521488811
840	0.8611445078	0.4520195293
841	0.8613264017	0.4519063184
842	0.8614397202	0.4517782331
843	0.8615075989	0.4517269072
844	0.861587769	0.4516707535
845	0.8616563482	0.4516112105
846	0.8618311024	0.4515068206
847	0.8619026415	0.4514138011
848	0.8619451561	0.4513763277
849	0.8621517694	0.4512074892
850	0.8623347371	0.451074812
851	0.8624248681	0.4509985116
852	0.862561403	0.450917879
853	0.8626355535	0.4508464583
854	0.8626707187	0.4508202546
855	0.8628718088	0.4506827589
856	0.8629496792	0.450607291
857	0.8630797692	0.4505110016
858	0.8631200707	0.4504660571
859	0.863232098	0.4503731887
860	0.8633430898	0.4502871958
861	0.8634332651	0.4502104527
862	0.863534477	0.4500985288
863	0.8636879335	0.4499688932
864	0.8638734607	0.4498371068
865	0.8640058138	0.4497360408
866	0.8640177415	0.4497165149
867	0.8640990566	0.4496235646
868	0.8641442558	0.4495712513
869	0.8641480374	0.4495430926
870	0.8642936826	0.4494385178
871	0.8643658528	0.449364892
872	0.8644047341	0.4493015845
873	0.8645300091	0.4492149245
874	0.8646882748	0.4491056606
875	0.8648420892	0.449006979
876	0.8649404683	0.4489344453
877	0.8651450263	0.4488012268
878	0.8652233817	0.4487389999
879	0.8653889563	0.4486210431
880	0.8657013578	0.4484140608
881	0.8658548335	0.4483234416
882	0.8659361313	0.448242199
